state,age,sex,educ,race,hispanic,CoB,citizen,ESR,cell_use_phone_calls,cell_use_text_msg,cell_use_photo_video,cell_use_browse_web,cell_use_email,cell_use_games,cell_use_social_media,cell_use_download_apps,cell_use_music
63,36,2,35,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
63,54,2,43,2,-1,57,1,1,1,2,2,2,2,2,2,2,2
63,48,2,45,1,-1,57,1,1,1,1,2,2,1,2,2,2,2
63,41,2,36,1,-1,57,1,7,1,2,2,2,2,2,2,2,2
63,30,1,40,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
16,63,2,43,1,-1,57,1,5,1,1,1,1,1,2,2,2,2
16,50,1,44,1,-1,57,1,1,1,1,1,1,1,2,2,2,1
16,44,2,43,1,-1,57,1,7,1,1,2,2,1,2,2,2,2
16,55,1,44,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
16,49,1,43,2,-1,57,1,1,1,1,2,2,2,2,2,2,2
16,28,2,40,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
16,49,2,39,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
16,51,2,39,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
16,47,2,40,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
16,27,2,39,2,-1,57,1,6,1,1,1,1,2,2,2,2,1
16,44,1,39,1,2,73,2,1,1,1,1,1,1,2,1,2,2
51,60,1,35,2,-1,57,1,6,1,1,2,2,2,2,2,2,2
51,59,2,44,1,-1,57,1,1,1,1,1,1,1,2,2,2,2
51,34,2,43,1,-1,57,1,1,1,1,1,1,1,1,1,2,1
51,63,2,43,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
51,53,2,39,1,-1,57,1,7,1,1,1,2,2,2,2,2,2
51,65,2,35,1,2,73,2,6,1,2,2,2,2,2,2,2,2
51,56,2,39,2,-1,57,1,6,1,2,2,2,2,2,2,2,2
53,43,1,35,1,4,312,5,1,1,2,2,2,2,2,2,2,2
53,32,2,44,4,-1,231,5,1,1,1,1,1,1,1,1,1,1
53,34,2,44,4,-1,210,5,1,1,1,1,1,1,1,1,1,1
53,48,1,44,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
53,52,2,40,2,-1,57,1,1,1,1,1,1,2,1,2,2,2
53,32,2,44,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
53,27,1,43,2,-1,57,1,7,1,1,1,1,1,1,1,1,1
53,23,1,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
59,42,1,42,1,-1,57,1,1,1,1,1,1,2,2,2,1,1
59,60,1,41,2,-1,57,1,1,1,2,2,2,2,2,2,2,2
59,42,1,44,1,-1,57,1,1,1,1,1,1,1,2,1,1,1
59,41,1,38,1,1,303,4,6,1,1,2,1,1,2,2,2,1
59,63,1,39,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
59,56,2,42,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
59,59,2,43,1,-1,57,1,1,1,1,1,1,2,2,1,2,2
59,49,2,39,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
59,51,2,44,1,-1,57,1,1,1,1,1,1,1,2,2,2,2
59,32,2,43,1,-1,110,3,1,1,1,2,2,1,2,2,2,2
59,16,2,37,1,1,57,1,7,1,1,2,2,1,1,1,2,1
59,40,2,41,1,2,73,2,1,1,1,1,1,1,2,1,2,1
59,58,1,39,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
59,56,2,44,1,-1,57,1,1,1,2,2,2,1,2,2,2,2
59,40,2,40,15,4,364,5,1,1,1,1,1,1,1,1,1,1
59,54,2,43,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
59,22,2,40,2,-1,57,1,1,1,2,2,2,2,2,2,2,2
59,38,2,40,1,-1,362,5,1,1,1,1,2,2,2,2,2,1
59,51,2,44,1,3,327,5,1,1,1,1,2,2,2,2,2,2
59,45,2,39,1,-1,327,4,1,1,2,2,2,2,2,2,2,2
59,40,1,46,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
59,37,2,44,1,-1,57,1,1,1,1,1,1,1,2,1,1,1
59,50,1,39,1,4,370,4,1,1,1,2,1,2,2,2,2,2
59,35,2,34,1,3,57,1,7,1,1,1,1,1,2,1,2,2
59,61,1,42,1,-1,57,1,5,1,1,1,1,2,2,2,1,2
59,46,1,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
59,38,1,39,4,-1,247,4,1,1,2,2,2,2,2,2,2,2
59,41,1,42,1,2,57,1,1,1,1,1,1,1,2,2,2,1
59,56,1,42,1,-1,57,1,1,1,1,1,1,1,2,2,2,2
59,64,2,42,1,-1,57,1,1,1,1,1,1,1,1,1,1,2
59,50,2,42,1,-1,57,1,1,1,2,2,1,1,2,2,2,2
59,20,1,40,1,2,57,1,1,2,2,2,2,2,2,2,2,2
59,56,2,42,1,4,360,5,1,1,2,2,2,2,2,2,2,2
59,65,1,39,1,2,73,2,7,1,1,1,1,1,2,2,2,2
59,47,2,39,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
59,35,1,39,1,-1,57,1,1,1,1,2,1,1,2,1,2,1
59,41,1,42,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
58,63,1,46,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
58,39,1,36,1,-1,57,1,2,1,1,1,1,1,2,1,1,1
58,33,1,43,2,-1,57,1,1,1,1,1,1,1,1,1,1,1
58,20,1,40,1,-1,57,1,7,1,1,1,1,1,1,1,1,1
58,29,2,39,2,-1,57,1,7,1,1,1,2,2,2,2,2,2
58,48,1,41,2,-1,57,1,7,1,2,2,2,2,2,2,2,2
58,50,2,44,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
58,29,2,33,1,1,303,5,1,1,1,2,2,2,2,2,2,2
58,54,1,40,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
58,60,1,44,2,-1,57,1,1,1,1,1,2,2,2,2,2,2
58,24,1,34,1,4,314,5,1,2,1,2,2,1,2,1,2,2
58,48,1,39,1,1,303,5,1,1,1,1,1,1,1,1,1,1
58,31,2,39,1,1,303,5,7,1,1,2,2,2,2,2,2,2
58,50,1,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
58,26,2,42,2,-1,57,1,1,1,1,1,1,1,1,1,1,1
58,37,1,39,2,-1,57,1,1,1,1,2,2,2,1,2,2,2
58,49,1,36,1,-1,57,1,1,1,1,1,1,1,2,2,1,2
58,65,1,39,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
58,58,1,46,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
58,48,2,40,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
58,47,2,40,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
58,26,1,40,1,-1,57,1,1,1,1,1,1,2,2,2,2,1
32,48,2,43,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
32,41,1,43,1,-1,57,1,1,1,1,1,2,1,2,2,2,2
32,59,2,39,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
32,44,1,39,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
61,43,2,34,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
61,38,2,40,2,-1,57,1,7,1,1,2,2,2,2,2,2,2
61,44,1,40,1,-1,57,1,1,1,1,1,1,1,1,1,1,2
61,36,2,41,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
61,52,1,44,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
61,53,1,43,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
61,31,2,41,1,-1,57,1,1,1,1,1,1,1,2,1,2,2
61,53,2,42,1,-1,57,1,7,1,2,2,2,2,2,2,2,2
61,50,1,40,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
61,65,1,44,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
61,51,1,40,2,-1,57,1,1,1,1,2,1,1,2,2,2,2
61,62,1,45,1,-1,57,1,7,1,2,2,2,2,2,2,2,2
61,38,2,40,1,-1,57,1,1,1,1,1,1,1,2,2,2,1
61,56,2,41,1,-1,57,1,6,1,1,1,2,2,2,2,2,2
61,57,1,40,1,-1,57,1,4,1,1,1,2,2,2,2,2,1
72,51,1,39,2,-1,57,1,1,1,1,2,2,2,2,2,2,2
72,64,2,39,7,-1,57,1,5,1,2,2,2,2,2,2,2,2
72,38,2,43,1,-1,57,1,1,1,1,1,1,1,2,1,1,1
72,30,2,35,1,1,303,5,7,1,1,1,2,2,2,2,2,2
72,55,2,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,2
72,29,1,40,1,1,303,5,1,2,1,2,2,2,2,2,2,2
72,38,1,42,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
72,53,2,43,2,-1,57,1,6,1,1,1,1,1,2,1,1,2
72,37,1,39,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
72,64,2,36,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
72,38,2,40,2,-1,57,1,1,1,1,2,2,2,2,1,2,2
72,48,2,39,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
72,56,2,39,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
72,49,2,40,1,-1,57,1,7,1,1,1,1,1,1,1,1,2
72,32,1,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
11,43,1,39,3,2,57,1,1,1,1,2,1,1,1,1,1,1
11,55,2,40,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
11,44,2,40,1,-1,57,1,7,1,1,1,2,2,2,2,2,2
11,41,1,45,1,-1,301,3,1,1,1,1,1,1,1,2,1,1
11,52,1,36,1,-1,57,1,6,1,1,1,2,2,2,1,1,2
11,41,2,42,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
11,50,2,44,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
52,43,2,43,2,-1,57,1,4,1,1,2,1,1,2,2,2,2
52,30,1,44,1,2,57,1,1,1,1,2,2,2,2,2,2,2
52,47,1,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
52,45,1,44,1,-1,57,1,1,1,1,1,1,1,2,1,1,2
52,32,1,43,4,-1,205,4,1,1,1,2,2,1,2,1,2,2
52,30,1,40,1,-1,57,1,1,1,1,2,1,2,2,1,2,2
52,61,2,43,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
52,53,1,39,1,-1,57,1,1,1,1,1,1,1,2,2,2,2
52,20,1,39,1,1,57,1,1,1,1,1,1,1,2,1,1,1
52,62,2,39,1,-1,57,1,6,1,1,1,2,2,2,2,2,2
52,41,2,42,6,-1,57,1,1,1,1,1,1,1,2,1,2,2
52,64,1,43,1,-1,57,1,1,1,1,1,1,2,1,1,1,1
52,30,1,42,4,-1,209,5,1,1,1,1,1,1,2,1,1,2
52,26,2,46,4,-1,207,5,1,1,1,1,1,1,1,1,1,1
52,33,2,46,4,-1,217,5,1,1,2,1,1,1,2,2,2,1
52,47,2,44,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
52,57,1,41,2,-1,421,5,1,2,2,2,2,2,2,2,2,2
52,64,2,44,1,-1,57,1,5,1,1,1,1,1,1,1,1,1
52,40,1,40,4,-1,233,5,1,1,1,2,2,2,2,2,2,2
52,63,2,42,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
52,63,1,43,2,-1,57,1,5,1,1,1,1,1,1,1,1,1
52,29,2,39,1,1,303,5,7,1,1,1,2,2,2,2,2,2
52,27,2,44,1,-1,57,1,1,1,1,1,1,1,2,1,2,2
52,23,1,43,2,-1,57,1,1,1,1,1,1,1,1,1,1,1
52,34,2,39,2,-1,57,1,1,1,1,1,1,1,1,1,1,1
52,28,1,43,1,-1,57,1,1,1,1,2,1,1,2,2,2,2
52,41,2,40,2,-1,57,1,1,1,1,2,2,2,2,2,2,2
52,32,1,43,2,-1,57,1,1,1,1,1,2,2,2,1,2,2
14,60,1,43,1,-1,57,1,5,1,1,2,2,2,2,2,2,2
14,60,1,39,1,-1,57,1,2,1,1,2,2,2,2,2,2,2
14,40,1,39,2,-1,129,5,1,1,2,2,2,2,2,2,2,2
14,33,2,44,6,-1,57,1,1,1,1,1,1,1,2,1,2,1
14,65,2,39,1,-1,57,1,5,1,1,2,2,2,2,2,2,2
14,30,2,37,1,2,73,2,1,1,1,1,2,2,2,2,2,2
14,23,1,40,2,-1,333,4,7,1,1,1,2,2,2,2,2,2
14,29,2,39,1,2,57,1,1,1,1,1,2,2,2,2,2,2
14,41,2,44,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
14,36,1,43,1,-1,332,5,1,1,1,2,2,2,2,2,2,2
14,52,1,39,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
14,59,2,34,4,-1,207,4,5,1,2,2,2,2,2,2,2,2
14,16,1,36,4,-1,57,1,7,1,1,1,1,1,1,1,1,1
14,48,2,43,2,-1,57,1,1,1,1,1,2,2,2,2,2,2
64,45,1,39,2,-1,57,1,1,1,1,1,1,1,2,2,1,2
64,56,1,43,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
64,30,2,39,2,-1,57,1,7,1,1,1,1,1,2,2,2,2
64,33,2,40,1,-1,57,1,3,1,1,1,1,1,1,1,2,1
64,35,2,43,2,-1,57,1,1,1,1,1,1,1,2,2,1,1
12,57,1,39,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
12,32,2,43,4,-1,206,5,1,1,1,1,1,1,1,1,1,1
12,55,1,43,1,-1,57,1,1,1,1,1,1,1,1,1,2,1
12,65,2,39,1,-1,57,1,2,1,2,2,2,2,2,2,2,2
12,48,2,41,1,-1,301,5,7,1,1,2,2,2,2,2,2,2
12,58,2,44,1,-1,57,1,1,1,1,1,1,1,2,2,1,2
12,60,1,39,1,-1,57,1,3,1,2,2,2,2,2,2,2,2
12,60,2,42,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
12,32,1,40,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
22,19,1,40,1,4,329,5,1,1,1,1,1,1,1,1,1,1
22,63,2,33,1,4,364,4,1,1,2,2,2,2,2,2,2,2
22,40,2,43,1,-1,57,1,7,1,2,2,2,1,2,1,2,2
22,60,2,44,1,-1,57,1,1,1,1,1,1,1,2,1,1,1
22,45,1,43,1,-1,57,1,1,1,1,1,1,1,2,2,1,2
22,57,2,39,1,-1,57,1,5,1,1,1,2,2,2,2,2,2
22,26,2,42,1,-1,57,1,1,1,1,1,1,1,1,1,1,2
22,54,2,40,1,-1,57,1,1,1,1,1,1,2,2,2,2,2
22,42,1,39,2,-1,57,1,1,1,1,1,1,1,2,2,2,1
22,58,1,45,1,-1,57,1,1,1,1,1,1,1,2,2,1,1
22,58,1,40,1,-1,57,1,1,2,2,2,1,2,2,2,2,2
22,43,2,39,1,4,365,4,1,1,1,1,2,2,2,2,2,2
22,56,2,40,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
22,56,2,44,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
22,36,1,44,1,-1,57,1,1,1,1,1,1,1,1,2,1,1
22,62,1,40,1,-1,57,1,5,1,1,2,2,2,2,2,2,2
22,65,2,32,2,-1,333,4,1,1,1,1,1,1,2,2,1,2
22,27,1,40,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
22,59,1,44,1,-1,57,1,1,1,1,1,2,1,2,2,1,2
22,51,1,43,1,-1,57,1,1,1,1,1,1,1,2,2,2,1
22,58,1,40,1,-1,57,1,1,1,1,1,1,1,2,1,1,2
22,56,2,39,1,-1,57,1,1,1,1,1,1,1,2,2,2,2
21,37,2,36,1,2,73,2,7,1,1,1,2,2,2,2,2,2
21,32,2,36,1,2,73,2,4,1,1,2,2,2,2,2,2,2
21,36,2,44,2,-1,57,1,1,1,1,1,1,1,2,1,1,2
21,46,1,37,2,-1,333,5,1,1,2,2,2,2,2,2,2,2
21,31,2,37,1,2,57,1,7,1,1,2,2,2,2,2,2,2
21,56,1,34,1,-1,57,1,2,1,1,1,1,1,2,2,1,2
21,49,1,46,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
21,57,2,39,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
21,47,2,40,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
21,46,2,40,1,-1,120,4,1,1,1,2,2,2,2,2,2,2
21,32,2,42,2,2,57,1,1,1,1,1,1,1,1,2,2,1
21,65,1,40,2,-1,368,4,1,1,1,1,2,2,2,2,2,2
21,51,1,44,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
21,45,2,44,1,4,365,4,1,1,1,1,2,2,2,2,2,2
21,47,2,46,1,-1,163,4,1,1,2,2,2,2,2,2,2,2
21,39,1,40,2,-1,332,5,1,1,1,1,1,1,2,2,2,2
21,31,1,43,4,-1,231,5,1,1,2,2,1,2,2,2,2,2
21,58,2,44,1,-1,57,1,1,1,2,1,1,1,1,2,1,1
21,64,2,40,2,-1,333,4,1,1,1,2,2,1,2,2,2,1
21,55,2,43,2,-1,333,4,1,1,2,1,2,1,2,2,2,2
21,33,1,41,2,-1,57,1,1,1,1,1,1,1,1,1,1,1
21,28,2,43,4,-1,57,1,4,1,1,2,2,2,2,2,2,2
21,48,2,40,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
21,61,2,40,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
21,65,2,44,1,-1,57,1,5,1,1,1,1,1,2,1,2,1
21,31,1,44,4,-1,210,5,1,1,1,1,1,1,1,2,2,1
21,59,1,40,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
21,65,1,44,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
21,29,1,44,1,4,363,5,1,1,1,1,1,1,1,1,1,1
21,24,2,43,1,-1,57,1,7,1,1,1,1,1,1,1,1,2
21,23,2,43,1,-1,57,1,1,1,1,2,1,1,1,1,1,1
21,27,1,43,1,-1,57,1,1,1,1,1,1,1,2,2,2,2
21,41,2,46,1,-1,57,1,1,1,1,1,1,1,2,1,1,2
21,65,2,44,1,-1,57,1,2,1,1,1,2,1,2,2,2,2
21,35,2,45,1,-1,212,4,1,1,1,2,1,1,2,2,2,2
21,22,2,43,1,1,57,1,1,1,1,1,1,1,1,1,1,1
21,29,2,39,1,4,57,1,1,1,1,1,1,1,1,1,1,1
21,36,1,44,1,-1,163,5,1,1,1,1,1,1,2,1,1,1
21,61,2,43,1,-1,57,1,5,1,1,2,2,2,2,2,2,2
21,51,2,38,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
21,34,2,44,1,-1,57,1,1,1,1,1,1,2,1,1,1,2
21,60,2,43,1,-1,57,1,6,1,1,1,1,1,1,1,1,1
21,47,1,43,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
21,33,1,36,1,-1,57,1,7,1,1,2,2,1,1,1,1,1
21,48,1,43,1,-1,57,1,1,1,1,1,1,1,2,2,1,2
21,23,2,43,1,-1,132,4,7,1,1,2,2,1,2,2,2,2
21,28,1,45,4,-1,57,1,1,1,1,1,1,1,1,1,1,1
21,25,2,44,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
21,26,1,43,4,-1,210,5,1,1,1,1,1,1,2,2,1,1
21,40,2,42,1,-1,57,1,1,1,1,1,1,1,2,2,2,2
21,33,2,40,1,-1,57,1,7,1,1,1,1,1,1,1,1,2
21,47,1,39,1,-1,110,3,1,1,1,2,2,2,2,2,2,2
21,23,2,41,1,1,57,1,1,1,1,1,1,1,1,1,1,1
21,44,1,39,2,-1,332,5,1,1,1,1,1,1,2,1,1,1
21,47,1,39,1,2,73,2,6,1,2,2,2,2,2,2,2,2
21,31,2,40,1,1,303,5,1,1,1,2,2,2,2,2,2,2
21,46,1,39,4,-1,207,5,1,1,1,1,2,2,2,2,2,1
21,46,2,42,1,-1,57,1,1,1,1,1,1,1,1,2,2,2
21,36,2,40,2,-1,57,1,1,1,1,1,1,1,1,1,1,1
21,40,1,44,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
21,36,2,43,1,-1,57,1,7,1,1,2,2,2,2,2,2,2
21,31,1,44,8,-1,57,1,1,1,1,1,1,1,1,1,1,1
21,51,1,44,1,-1,57,1,1,1,1,1,1,1,1,1,1,2
21,50,2,43,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
56,52,2,43,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
56,25,1,40,1,-1,57,1,4,1,2,2,2,2,2,2,2,2
56,53,2,33,4,-1,223,4,1,1,2,2,2,2,2,2,2,2
56,49,1,36,2,-1,57,1,1,1,1,2,2,2,2,2,2,2
56,50,1,46,1,-1,57,1,1,1,1,1,1,1,2,1,1,1
56,41,2,37,1,-1,57,1,4,1,1,1,2,2,2,2,2,1
56,49,2,39,1,-1,57,1,6,1,2,2,2,2,2,2,2,2
56,63,2,43,1,-1,57,1,5,1,2,2,2,2,1,2,2,2
56,65,2,40,1,-1,57,1,7,1,2,1,2,2,2,2,2,2
56,59,2,39,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
56,46,2,40,1,-1,57,1,7,1,1,1,1,1,1,2,1,1
56,55,2,39,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
56,54,2,43,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
56,38,2,39,1,-1,361,5,7,1,2,2,2,2,2,2,2,2
56,60,2,40,2,-1,57,1,1,1,1,1,1,1,1,2,1,2
56,22,2,37,2,-1,57,1,6,1,1,1,1,1,1,1,1,1
56,20,2,39,6,-1,57,1,7,1,1,2,1,2,1,1,1,1
56,52,2,39,2,-1,57,1,1,1,2,2,2,2,2,2,2,2
56,38,2,40,2,-1,57,1,1,1,1,1,1,1,1,1,1,1
31,50,2,39,1,-1,57,1,1,1,1,1,2,2,2,2,2,2
31,60,2,39,1,-1,57,1,1,1,1,2,2,2,2,2,2,2
31,29,1,43,1,-1,57,1,1,1,1,1,1,1,2,1,1,1
31,61,1,37,2,-1,57,1,5,1,2,2,2,2,2,2,2,2
31,46,2,39,1,-1,57,1,6,1,1,2,2,2,2,2,2,2
31,29,1,40,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
31,23,2,43,1,-1,57,1,1,1,1,1,1,1,1,1,1,1
31,32,2,40,2,-1,57,1,6,1,1,1,1,2,2,2,1,1
31,43,2,40,1,-1,301,5,1,1,1,1,2,2,2,2,2,2
31,55,1,43,1,-1,57,1,1,1,2,2,2,2,2,2,2,2
31,49,2,41,1,-1,109,3,6,1,1,1,1,1,2,1,2,2
31,32,1,39,1,-1,57,1,1,1,1,2,2,2,1,1,2,2
31,31,1,42,2,-1,57,1,1,1,1,1,1,2,2,1,1,1
31,53,2,43,1,-1,57,1,5,1,1,2,1,1,1,2,2,2
31,40,2,39,2,-1,454,5,1,1,1,1,2,2,2,2,2,1
31,44,2,37,2,-1,57,1,6,1,2,2,2,2,2,2,2,2
31,65,2,39,1,-1,57,1,5,1,2,2,2,2,2,2,2,2
31,40,2,38,1,-1,57,1,6,1,1,1,1,1,2,1,1,1
