"age","phd","educ","logwage","hs","somecoll","college","ma","govt"
39,0,14,2.89037175789616,0,1,0,0,0
48,0,12,3.29298379702192,1,0,0,0,0
39,0,12,2.83997774414476,1,0,0,0,1
39,0,16,3.64965874096066,0,0,1,0,1
43,0,12,2.30258509299405,1,0,0,0,0
42,0,12,1.38629436111989,1,0,0,0,0
45,0,13,3.87280229227486,0,1,0,0,0
39,0,16,2.81341071676004,0,0,1,0,0
37,0,12,2.79399263090294,1,0,0,0,1
33,0,13,2.87794923789761,0,1,0,0,0
35,0,14,2.0536438488587,0,1,0,0,0
45,0,12,1.38629436111989,1,0,0,0,0
33,0,16,2.35867455964509,0,0,1,0,0
31,0,13,2.72766998797186,0,1,0,0,0
45,0,12,1.38629436111989,1,0,0,0,0
46,0,12,2.7333680090865,1,0,0,0,0
37,0,13,3.12014098418251,0,1,0,0,0
50,0,13,3.67318923837085,0,1,0,0,0
47,0,12,3.30481825466893,1,0,0,0,0
32,0,12,1.85059996925099,1,0,0,0,0
49,0,14,2.79399263090294,0,1,0,0,1
44,0,12,2.95651156040071,1,0,0,0,1
47,0,14,3.4673371841667,0,1,0,0,0
48,0,12,3.78319013358518,1,0,0,0,0
32,0,14,3.88275262312803,0,1,0,0,0
39,0,12,2.79399263090294,1,0,0,0,0
35,0,16,2.40996785403264,0,0,1,0,0
45,0,12,3.07429459605709,1,0,0,0,0
46,0,16,3.01650203504038,0,0,1,0,0
40,0,12,1.38629436111989,1,0,0,0,0
45,0,12,2.89197303926314,1,0,0,0,0
45,0,12,2.59983661646198,1,0,0,0,0
34,0,12,2.57702193869581,1,0,0,0,0
40,0,14,2.95651156040071,0,1,0,0,0
39,0,16,1.38629436111989,0,0,1,0,0
43,0,14,2.39011608547991,0,1,0,0,0
35,0,16,3.87280229227486,0,0,1,0,0
31,0,12,2.82298016777619,1,0,0,0,1
49,0,16,1.38629436111989,0,0,1,0,0
42,0,12,1.38629436111989,1,0,0,0,0
37,0,13,1.38629436111989,0,1,0,0,0
34,0,14,3.00530172457014,0,1,0,0,1
43,0,12,2.66882948794893,1,0,0,0,0
46,0,12,2.7333680090865,1,0,0,0,0
49,0,13,1.38629436111989,0,1,0,0,0
48,0,14,1.99641820586816,0,1,0,0,0
42,0,12,3.28341434600577,1,0,0,0,0
45,0,12,2.82298016777619,1,0,0,0,0
41,0,16,1.38629436111989,0,0,1,0,0
50,0,12,2.85423271128029,1,0,0,0,0
40,0,12,1.38629436111989,1,0,0,0,0
49,0,14,2.65356201581814,0,1,0,0,0
46,0,12,3.2188758248682,1,0,0,0,0
47,0,12,2.39232911112176,1,0,0,0,0
45,0,12,2.95651156040071,1,0,0,0,1
